Character No.,Character Name,Race,Gender,Age,Category,Affiliation,Alias,Abilities,Breathing Style ,Fighting Style,Demon Art,Equipment,Fights
1,Tanjiro Kamado,Human,Male,16,Demon Slayer,Demon Slayer Corps,Child of Brightness,"Total Concentration: Constant, Transparent World, Enhanced Accuracy, Enhanced Smell, Extrasensory Perception, Pseudo-Precognition, Enhanced Strength, Genius Intellect, Combat Intution, Hard Skull, Immense Speed and Reflexes, Immense Stamina & Endurance, Indomitable Will, Repetitive Action, Selfless State, Night-Absolute Regeneration(Demon), Sunlight Resistance(Demon), Unlimited Stamina & Endurance(Demon)","Water Breathing, Hinokami Kagura","Master Swordsman, Short-to-Mid Ranged Combatant(Demon)",Biokinesis,Standard Nichirin Katana,"VS Giyu Tomioka, VS Temple Demon, VS Hand Demon, VS Swamp Demon, VS Suhamaru and Yahaba, VS Kyogai, VS Inosuke Hashibara, VS Spider Demon (Mother), VS Spider Demon (Father), VS Rui, VS Enmu, VS Daki and Gyutaro, VS Hantengu, VS Muzan Kibutsuji, VS Akaza, VS Demon Slayers"
2,Zenitsu Agatsuma,Human,Male,16,Demon Slayer,Demon Slayer Corps,Zenko,"Enhanced Hearing, Extrasensory Perception, Enhanced Strength, Immense Speed and Reflexes, Immense Stamina and Endurance, Indomitable Will, Tactical Intellect, Unconscious Combat",Thunder Breathing,Master Swordsman,-,Standard Nichirin Katana,"VS Tongue Demon, VS Spider Demon (Son), VS Enmu, VS Daki and Gyutaro, VS Kaigaku, VS Muzan Kibutsuji, VS Tanjiro Kamado(Demon)"
3,Inosuke Hashibira,Human,Male,15,Demon Slayer,Demon Slayer Corps,Hashibira Inosuke,"Animal Imitation, Enhanced Flexibility, Enhanced Strength, Enhanced Touch, Extrasensory Perception, Immense Speed & Reflexes, Immense Stamina & Endurance, Indomitable Will, Poison Resistance, Repititive Action",Beast Breathing,Master Swordsman,-,Dual Nichirin Katana,"VS Horned Demon, VS Tanjiro Kamado, VS Spider Demon(Mother), VS Spider Demon(Father), VS Enmu, VS Daki & Gyutaro, VS Doma, VS Muzan Kibutsuji, VS Tanjiro Kamado(Demon)"
4,Kanao Tsuyuri,Human,Female,16,Demon Slayer,Demon Slayer Corps,-,"Enhanced Strength, Enhanced Vision, Immense Speed and Reflexes, Immense Stamina and Endurance, Indomitable Will",Flower Breathing,Master Swordswoman,-,Standard Nichirin Katana,"VS Doma, VS Muzan Kibutsuji, VS Tanjiro Kamado(Demon)"
5,Genya Shinazugawa,Human,Male,16,Demon Slayer,Demon Slayer Corps,-,"Demonic Transformation, Flesh Gun, Upper Rank One Empowerment, Upper Rank Four Empowerment, Repititive Action",-,"Expert Marksman, Expert Swordsman",Wooden Flesh Bullets,Nichirin Shotgun,"VS Hantengu, VS Kokushibo"
6,Murata,Human,Male,16,Demon Slayer,Demon Slayer Corps,-,Murata's prowess,Water Breathing,Swordsman,-,Standard Nichirin Katana,-
7,Ozaki,Human,Female,16,Demon Slayer,Demon Slayer Corps,-,Swordsmanship,-,Swordswoman,-,Standard Nichirin Katana,-
8,Nezuko Kamado,Human,Female,14,Good Demon,Demon Slayer Corps,The Chosen Demon,"Abnormal Demon Physiology, Full Demon Form, Sunlight Resistance, Blood Manipulation, Immense Regeneration, Immense Strength, Size Alteration",-,Skilled Hand-to-Hand Combatant,Pyrokinesis,Hands,"VS Giyu Tomioka, VS Temple Demon, VS Swamp Demon, VS Susamaru and Yahaba, VS Rui, VS Enmu, VS Daki and Gyutaro, VS Hantengu, VS Tanjiro Kamado(Demon)"
9,Muzan Kibutsuji,Demon,Male,1000,Demon Head,Twelve Kizuki(Leader),Tsukihiko,"Biological Absorption, Combat Form, Arm whips, Mouth Suction, Back whips, Thigh whips, Demonic Blood, Blood Memory Transfer, Consciousness Implantation, Demon Manipulation, Demon Curse, Demon Memory Access, Demon Power Nullification, Telepathy, Extrasensory Perception, Genius Intellect, Immeasurable Speed & Reflexes, Immeasurable Strength, Nigh-Absolute Regeneration, Unlimited Stamina & Endurance",,Whip Proficiency,Biokinesis,"Hands, Brain",VS Demon Slayers
10,Kokushibo,Demon,Male,480,Upper Rank Demon,Twelve Kizuki,Michikatsu Tsugikuni,"Biological Absorption, Transparent World, Extrasensory Perception, Flesh Manipulation, Sword Manipulation, Immense Durability, Immense Regeneration, Immense Speed & Reflexes, Immense Strength, Indomitable Will, Menacing Aura, Monstrous Transformation, Tactical Intellect, Unlimited Stamina & Endurance",Moon Breathing,Master Swordsman,Crescent Moon Blades,Flesh Katana ,"VS Muichiro Tokito, VS Genya Shinazugawa, VS Sanemi Shinazugawa, VS Gyomei Himejima"
